sku_id,location_id,on_hand_qty
SKU-067,LOC-01,9
SKU-067,LOC-02,7
SKU-067,LOC-03,9
SKU-067,LOC-04,2
SKU-068,LOC-01,13
SKU-068,LOC-02,23
SKU-068,LOC-03,16
SKU-068,LOC-04,8
SKU-069,LOC-01,2
SKU-069,LOC-02,6
SKU-069,LOC-03,2
SKU-069,LOC-04,1
SKU-070,LOC-01,2
SKU-070,LOC-02,2
SKU-070,LOC-03,2
SKU-070,LOC-04,2
SKU-071,LOC-01,11
SKU-071,LOC-02,8
SKU-071,LOC-03,6
SKU-071,LOC-04,11
SKU-072,LOC-01,3
SKU-072,LOC-02,16
SKU-072,LOC-03,5
SKU-072,LOC-04,15
SKU-073,LOC-01,9
SKU-073,LOC-02,17
SKU-073,LOC-03,6
SKU-073,LOC-04,12
SKU-074,LOC-01,6
SKU-074,LOC-02,6
SKU-074,LOC-03,1
SKU-074,LOC-04,12
SKU-075,LOC-01,19
SKU-075,LOC-02,21
SKU-075,LOC-03,8
SKU-075,LOC-04,7
